Timestamp,Usia,Gender,Lokasi Pengunjung,Apakah Anda pengguna sepatu Futsal merek Ortuseight?,Apa pertimbangan Anda ketika ingin menggunakan sepatu Futsal Ortuseight? (boleh memilih lebih dari satu jawaban),Column1,Column2,Column3,H1,H2,H3,H4,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP9,KP10,KP11,KP12,KP13,KP14,KP15,CM1,CM2,CM3,CM4,CM5,KPB1,KPB2,KPB3,KPB4,KPB5,KPB6
12/7/2021 19.40.19,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4
12/7/2021 19.43.08,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,5,4,5,4,4,5,4,3,4,4,4,3,3,4
12/7/2021 19.45.47,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Nyaman,,4,4,5,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5
12/7/2021 20.57.33,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Pemain Idola saya menggunakan sepatu futsal ortus juga (bayu saptaji),,,,5,4,4,4,4,4,3,3,4,4,4,4,4,3,4,5,3,3,4,4,4,4,3,5,5,3,4,4,4,4
12/7/2021 21.02.45,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,3,3,3,4,3,3
12/7/2021 21.06.25,26-35 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4
12/7/2021 21.11.06,26-35 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,3,4,4,3,4,4,3,4,3,3,3,3,3,3,4,5,3,4,3,2,2,2,2,3,4,3,3,4,3
12/7/2021 21.15.57,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,4,4,5,4,4,4,3,3,4,3,4,4,3,3,3,5,5,3,4,4,3,4,3,4,4,4,3,4,4,3
12/7/2021 21.20.20,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
12/7/2021 21.23.05,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,5,5,5,5,5,5,5,3,5,5,4,4,5,4,3,3,3,3,4,5,4,2,3,4,4,4,4,3,3
12/7/2021 21.27.32,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,3
